Sample	Cave	CH4_conc(ppm)	CO2_conc(ppm)	Location	State	Bin.Loc	Year	Month	delta13carb	Moisture	%Gravel	%Sand	%Silt	%Clay	R	B 	G	Distance(m)
Bristol	21-10d 21	0.5	2430	1	TN	0	2013	7	-21.9	Wet	0	34.6	56.8	8.5	148	123	80	NA
22-11d	22	3.5	1610	0	TN	0	2013	7	NA	Moist	0	24	64.8	11.2	117	90	61	NA
17-1b	17	1.9	1430	0	PA	0	2013	7	-20.4	Moist	0.6	18.4	59.3	21.8	187	146	86	4
17-1c	17	1.4	1490	0	PA	0	2013	7	-20.5	Wet	1.5	62.7	28.3	7.6	165	117	64	12
17-1d	17	1.9	2400	1	PA	0	2013	7	-20.5	Moist	0	35.5	50.3	14.3	145	87	55	32
18-2c	18	0.9	820	1	PA	0	2013	7	-16.8	Wet	0.3	40.8	54	4.8	110	78	59	40
18-2e	18	0.4	4250	2	PA	1	2013	7	-21.3	Wet	0	35.5	50.3	14.3	117	90	61	178
20-4b	20	0.6	3460	1	PA	0	2013	7	-22.62	Wet	0.8	28.9	61	9.4	99	55	34	33
20-4c	20	0.4	4240	1	PA	0	2013	7	-22.37	Moist	7.5	28.7	56.1	7.6	64	51	52	48
27-5b	27	0.8	8100	1	VA	0	2013	7	-23.71	Dry	0	4.3	83.6	12.1	112	72	50	NA
27-5d	27	1	6300	1	VA	0	2013	7	-22.84	Dry	0	15.3	71.4	13.3	145	87	55	NA
27-5e	27	0.6	14700	2	VA	1	2013	7	-23	Moist	6.1	29.1	54	10.7	189	163	88	NA
28-6b	28	0.7	2480	2	VA	1	2013	7	-22.6	Wet	3.2	40.4	44.1	12.3	177	132	115	554
28-6c	28	0.6	3230	2	VA	1	2013	7	-22.48	Moist	0.4	8.1	60.7	30.8	129	63	37	100
28-6d	28	0.4	7600	2	VA	1	2013	7	-23.81	Wet	0.2	21.2	66.5	12.1	118	68	48	1609
29-7c	29	1.5	1280	1	VA	0	2013	7	-19.2	Moist	1.4	25.5	57.2	15.9	145	87	55	88
29-7f1	29	0.4	8740	2	VA	1	2013	7	-23.3	Moist	3.5	22.7	61.2	12.7	121	74	52	490
29-7f2	29	0.4	8740	2	VA	1	2013	7	-23.2	Moist	3.5	22.7	61.2	12.7	121	74	52	490
30-8d	30	1.3	1800	1	VA	0	2013	7	-22.8	Moist	0	2	80.8	17.1	163	113	57	NA
31-9b	31	1.8	681	0	VA	0	2013	7	-17.5	Wet	0	12.5	77.9	9.6	142	96	57	0
31-9c	31	0.8	8370	2	VA	1	2013	7	-21.06	Dry	0.6	18.9	73.7	6.8	187	146	86	69
35-1	35	0.23	2028	2	IN	1	2013	5	NA	Moist	2.7	41.7	44.5	11.1	148	114	75	516
5-1	5	0.4	8600	1	IN	0	2013	6	-21.8	Wet	0.8	6.3	82.2	10.7	148	113	75	NA
5-2a	5	0.4	6500	2	IN	1	2013	6	-19.9	Wet	2.5	34.1	53.1	10.4	142	121	90	NA
5-2b	5	0.4	6500	2	IN	1	2013	6	-19.9	Wet	2.5	34.1	53.1	10.4	142	121	90	NA
38-9	38	3.67	850	2	TB	1	2013	12	-10.4	Wet	0.1	66.9	31.5	1.5	148	137	129	15
38-2	38	2.14	530	0	TB	1	013	12	-10	Wet	0.1	20.9	72	6.9	177	59	108	10
38-4	38	1.98	490	0	TB	0	2013	12	-9.6	Wet	0.3	23.8	59.6	16.3	147	123	82	9
36-1	36	1.6	650	0	KY	0	2013	5	-11.8	Wet	2.1	44.1	50.9	2.9	173	166	136	NA
36-2	36	1.08	2200	1	KY	0	2013	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10-1	10	1.79	920	0	KY	0	2013	7	-16.7	Wet	1.4	18.8	73.7	6.1	87	52	40	12
Mock-Com	Not_Cave	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4-2	4	0.3	5200	2	IN	1	2013	6	-19.07	Moist	0	3.5	89.5	7	142	96	57	152
4-1	4	0.7	3900	1	IN	0	2013	6	NA	Moist	2.4	30.8	56.8	10	173	165	137	67
6-1	6	1.32	750	0	IN	0	2013	6	NA	Wet	1.6	65.8	29.3	3.3	107	84	67	12
6-2	6	0.32	3700	2	IN	1	2013	6	-19.5	NA	NA	NA	NA	NA	NA	NA	NA	300
2-3	2	0.47	8000	2	IN	1	2013	8	-22.8	Wet	3	18.7	70.7	7.5	146	119	91	571.5
2-2	2	0.85	7700	2	IN	1	2013	8	-23.8	Wet	0.4	31.7	62.6	5.4	61	37	36	426
2-1	2	1.89	2140	0	IN	0	2013	8	-21.2	Wet	0	11.6	80.8	7.7	87	52	40	91
11-1	11	0.91	2790	0	KY	0	2013	7	-22.3	Moist	3.9	34.4	52.6	9.1	87	52	40	15
37-1	37	0.3	1030	2	KY	1	2013	5	-13.8	Wet	5.3	45	43.2	6.5	148	113	75	NA
19-3d	19	0.4	1400	2	PA	1	2013	7	-19.3	Wet	0.1	3.6	77.3	19	143	117	90	NA
19-3c	19	0.5	910	2	PA	1	2013	7	-19	Wet	0	16.7	76	7.3	107	84	67	NA
