Sample	Cave	CH4_conc(ppm)	CO2_conc(ppm)	Location	State	Bin.Loc	Lattitude	Longitude	Year	Month
10d-Bristol-I	Bristol	0.5	2430	1	TN	0	36.5489	82.1208	2013	7
11d-Appalachian	Appalachian	3.5	1610	0	TN	0	36.5026	82.3174	2013	7
1b-Lincoln	Lincoln	1.9	1430	0	PA	0	40.5075	78.0713	2013	7
1c-Lincoln	Lincoln	1.4	1490	0	PA	0	40.5075	78.0713	2013	7
1d-Indian	Lincoln	1.9	2400	1	PA	0	40.5075	78.0713	2013	7
2c-Indian	Indian	0.9	820	1	PA	0	40.6456	78.0902	2013	7
2e-Indian	Indian	0.4	4250	2	PA	1	40.6456	78.0902	2013	7
4b-Lost-River	Lost-River	0.6	3460	1	PA	0	40.5807	75.3309	2013	7
4c-Lost-River	Lost-River	0.4	4240	1	PA	0	40.5807	75.3309	2013	7
5b-Skyline	Skyline	0.8	8100	1	VA	0	38.9	78.2138	2013	7
5d-Skyline	Skyline	1	6300	1	VA	0	38.9	78.2138	2013	7
5e-Skyline	Skyline	0.6	14700	2	VA	1	38.9	78.2138	2013	7
6b-Shenandoah	Shenandoah	0.7	2480	2	VA	1	38.7111	78.6635	2013	7
6c-Shenandoah	Shenandoah	0.6	3230	2	VA	1	38.7111	78.6635	2013	7
6d-Shenandoah 	Shenandoah	0.4	7600	2	VA	1	38.7111	78.6635	2013	7
7c-Grand	Grand	1.5	1280	1	VA	0	38.2595	78.8329	2013	7
7f-Grand-II	Grand	0.4	8740	2	VA	1	38.2595	78.8329	2013	7
7f-Grand-III	Grand	0.4	8740	2	VA	1	38.2595	78.8329	2013	7
8d-Bridge	NBC	1.3	1800	1	VA	0	37.6353	79.5415	2013	7
9b-Dixie	Dixie	1.8	681	0	VA	0	37.2521	80.1753	2013	7
9c-Dixie	Dixie	0.8	8370	2	VA	1	37.2521	80.1753	2013	7
BC-II	Buckner_Cave	0.23	2028	2	IN	1	39.123	86.656	2013	5
BiC-SR	Binkley_Cave	0.4	8600	1	IN	0	38.191683	86.12	2013	6
BiC-TBBV-I	Binkley_Cave	0.4	6500	2	IN	1	38.191683	86.120017	2013	6
BiC-TBBV-II	Binkley_Cave	0.4	6500	2	IN	1	38.191683	86.120017	2013	6
CDVL-BS	CDVL	3.67	850	2	TB	1	17.4	92.75	2013	12
CDVL-Cas-Peq	CDVL	2.14	530	0	TB	1	17.4	92.75	2013	12
CDVL-Mid-Spr	CDVL	1.98	490	0	TB	0	17.4	92.75	2013	12
JC-ER-WS	James_Cave	1.6	650	0	KY	0	37.1012	86.0815	2013	5
JC-WR	James_Cave	1.08	2200	1	KY	0	37.1012	86.0815	2013	5
Mnt-Spr-Cv-12m	Mint_Spring	1.79	920	0	KY	0	38.0045	86.164	2013	7
Mock-Com	Not_Cave	NA	NA	NA	NA	NA	NA	NA	2015	3
SBC-DV	SBC	0.3	5200	2	IN	1	38.061	86.1375	2013	6
SBC-WF	SBC	0.7	3900	1	IN	0	38.061	86.1375	2013	6
SC-LDER	Sullivan_Cave	1.32	750	0	IN	0	38.9147	86.6993	2013	6
SC-SLUMR	Sullivan_Cave	0.32	3700	2	IN	1	38.9147	86.6993	2013	6
ShiC-BDWF	Shiloh_Cave	0.47	8000	2	IN	1	38.8697	86.555	2013	8
ShiC-IBDSP	Shiloh_Cave	0.85	7700	2	IN	1	38.8697	86.555	2013	8
ShiC-SP	Shiloh_Cave	1.89	2140	0	IN	0	38.8697	86.555	2013	8
Sky-Hi-12m	Ski-Hi	0.91	2790	0	KY	0	37.9688	85.9611	2013	7
TVC-BP	TVC	0.3	1030	2	KY	1	37.1117	86.0962	2013	5
Woodward-3D	Woodward	0.4	1400	2	PA	1	40.8882	77.3875	2013	7
Woodward-3c	Woodward	0.5	910	2	PA	1	40.8882	77.3875	2013	7
